"","srid","is_geographic","has_flipped_axes","spheroid","prime_meridian","datum","projection","unit","axis_1_name","axis_1_orientation","axis_2_name","axis_2_orientation"
"1029",3056,0,0,"International 1924","Greenwich","Hjorsey_1955","Transverse_Mercator","metre","Easting","East","Northing","North"
"1030",3057,0,0,"GRS 1980","Greenwich","Islands_Net_1993","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"1031",3058,0,1,"International 1924","Greenwich","Helle_1954","Transverse_Mercator","metre","x","North","y","East"
"1032",3059,0,1,"GRS 1980","Greenwich","Latvia_1992","Transverse_Mercator","metre","X","North","Y","East"
"1033",3060,0,0,"International 1924","Greenwich","IGN72_Grande_Terre","Transverse_Mercator","metre","Easting","East","Northing","North"
"1034",3061,0,0,"International 1924","Greenwich","Porto_Santo_1995","Transverse_Mercator","metre","Easting","East","Northing","North"
"1035",3062,0,0,"International 1924","Greenwich","Azores_Oriental_Islands_1995","Transverse_Mercator","metre","Easting","East","Northing","North"
"1036",3063,0,0,"International 1924","Greenwich","Azores_Central_Islands_1995","Transverse_Mercator","metre","Easting","East","Northing","North"
"1037",3064,0,0,"WGS 84","Greenwich","Istituto_Geografico_Militaire_1995","Transverse_Mercator","metre","Easting","East","Northing","North"
"1038",3065,0,0,"WGS 84","Greenwich","Istituto_Geografico_Militaire_1995","Transverse_Mercator","metre","Easting","East","Northing","North"
"1039",3066,0,0,"International 1924","Greenwich","European_Datum_1950","Transverse_Mercator","metre","Easting","East","Northing","North"
"1040",3067,0,0,"GRS 1980","Greenwich","European_Terrestrial_Reference_System_1989","Transverse_Mercator","metre","Easting","East","Northing","North"
"1041",3068,0,1,"Bessel 1841","Greenwich","Deutsches_Hauptdreiecksnetz","Cassini_Soldner","metre","x","North","y","East"
"1042",3069,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927","Transverse_Mercator","metre","X","East","Y","North"
"1043",3070,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Transverse_Mercator","metre","X","East","Y","North"
"1044",3071,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"1045",3072,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Transverse_Mercator","metre","X","East","Y","North"
"1046",3073,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Transverse_Mercator","metre","X","East","Y","North"
"1047",3074,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Transverse_Mercator","metre","X","East","Y","North"
"1048",3075,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"1049",3076,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"1050",3077,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"1051",3078,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Hotine_Oblique_Mercator","metre","X","East","Y","North"
"1052",3079,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Hotine_Oblique_Mercator","metre","X","East","Y","North"
"1053",3080,0,0,"Clarke 1866","Greenwich","North_American_Datum_1927","Lambert_Conformal_Conic_2SP","foot","X","East","Y","North"
"1054",3081,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"1055",3082,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"1056",3083,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Albers_Conic_Equal_Area","metre","X","East","Y","North"
"1057",3084,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"1058",3085,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Albers_Conic_Equal_Area","metre","X","East","Y","North"
"1059",3086,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Albers_Conic_Equal_Area","metre","X","East","Y","North"
"1060",3087,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Albers_Conic_Equal_Area","metre","X","East","Y","North"
"1061",3088,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"1062",3089,0,0,"GRS 1980","Greenwich","North_American_Datum_1983","Lambert_Conformal_Conic_2SP","US survey foot","X","East","Y","North"
"1063",3090,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"1064",3091,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","US survey foot","X","East","Y","North"
"1065",3092,0,0,"Bessel 1841","Greenwich","Tokyo","Transverse_Mercator","metre","Easting","East","Northing","North"
